Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (km),Avg Speed (km/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (m),Elevation Descended (m)
Outdoor Walk,2/8/26 10:51,2/8/26 10:53,0:01:47,129.4,3.31,112,100.77,0.038,1.29,,,,,,,
Traditional Strength Training,2/3/26 8:37,2/3/26 9:39,1:02:32,617.67,480.97,161,125.47,,,1732,27.69,,,,,
Outdoor Walk,2/1/26 10:08,2/1/26 11:29,1:21:13,519.78,349.6,104,93.35,5.5,4.06,6151,75.72,,,2,28.5,
Outdoor Walk,1/26/26 17:41,1/26/26 18:23,0:41:36,357.82,260.82,140,118.98,4.2,6.05,3531,84.86,,,,28.9,
Traditional Strength Training,1/25/26 11:57,1/25/26 13:48,1:51:07,778.19,549.44,145,101.77,,,1810,16.29,,,,,
Outdoor Walk,1/22/26 17:46,1/22/26 18:39,0:53:06,487.89,369.23,149,124.31,5.54,6.26,6332,119.24,,,,48.36,
Traditional Strength Training,1/22/26 12:11,1/22/26 12:15,0:03:42,48.69,17.84,117,107.77,,,,,,,,,
Traditional Strength Training,1/21/26 10:28,1/21/26 11:42,1:14:17,740.77,578.94,158,129.38,,,2717,36.57,,,,,
Traditional Strength Training,1/18/26 12:09,1/18/26 13:49,1:39:12,760.28,555.13,137,109.74,,,2003,20.19,,,,,
Traditional Strength Training,1/16/26 9:04,1/16/26 10:21,1:17:02,671.66,507.77,154,114.41,,,1829,23.74,,,,,
Outdoor Walk,1/15/26 17:52,1/15/26 18:36,0:44:07,430.98,326.8,138,116.12,4.62,6.29,3644,82.57,,,,28.68,
Outdoor Walk,1/14/26 19:36,1/14/26 20:13,0:36:09,343.73,254.88,155,126.04,3.55,5.89,3157,87.33,,,1,58.15,
Traditional Strength Training,1/13/26 19:56,1/13/26 21:00,1:04:04,677.22,533.87,160,126.63,,,586,9.15,,,,,
Outdoor Walk,1/12/26 17:54,1/12/26 18:35,0:41:51,363.53,260.45,124,110.72,4.11,5.9,3552,84.87,,,,32.51,
Outdoor Walk,1/11/26 12:43,1/11/26 13:49,1:00:45,451.45,305.44,121,98.07,4.73,4.67,5175,85.17,,,10,123.74,
Hiking,1/11/26 11:22,1/11/26 11:26,0:03:50,49.44,15.9,108,99.87,0.238,3.72,,,,,,6.75,
Outdoor Walk,1/10/26 14:10,1/10/26 14:22,0:11:07,84.4,40.35,103,95.04,0.774,4.17,123,11.06,,,,8.86,
Traditional Strength Training,1/10/26 10:53,1/10/26 12:53,1:57:01,866.77,625.85,146,106.63,,,2155,18.42,,,1,,
Outdoor Walk,1/8/26 17:31,1/8/26 18:15,0:44:26,431.32,324.17,132,110.77,4.42,5.96,3472,78.13,,,,29.98,
Traditional Strength Training,1/7/26 19:46,1/7/26 21:52,2:06:21,1177,914.08,159,118.12,,,1499,11.86,,,,,
Outdoor Walk,1/4/26 10:32,1/4/26 11:41,1:08:19,439.89,284.82,124,99.61,3.41,2.99,4334,63.44,,,12,110.92,
Hiking,1/3/26 9:49,1/3/26 12:20,2:23:14,1154,866.36,181,111.05,8.8,3.69,11681,81.55,,,87,397.2,
Outdoor Walk,1/2/26 11:49,1/2/26 13:04,1:15:46,511.86,345.29,112,94.75,5.99,4.74,6662,87.92,,,1,60.58,